CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
25001010100,Massachusetts,Barnstable County,1,2942,1765,0,44,1.5,0,1,0,0,0,1,11,77969,0,1,0,1,0,0,0,0,227,989,227,67,282,67,989,33.63,282,9.57,86,2.93,206,7.01,927,31.52,22,0.74,10,0.33,1,0.02,7,0.24,23,0.78,40,1.38,45,2.55,27,1.51,227,7.7,67,2.27,30,1.03,53,1.82,204,6.92,9,0.31,5,0.18,0,0,3,0.09,6,0.21,9,0.32,15,0.86,6,0.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,744,201,599,2691,118,18,1,18,96,142,211,80
25001010206,Massachusetts,Barnstable County,0,2750,1366,0,1,0.04,0,0,0,0,0,1,10.5,75943,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2311,84.03,732,26.63,311,11.31,608,22.1,2237,81.35,19,0.69,12,0.42,0,0,6,0.22,37,1.34,38,1.37,32,2.37,79,5.81,1690,61.45,544,19.79,235,8.55,443,16.11,1640,59.62,15,0.55,6,0.23,0,0,5,0.18,24,0.87,24,0.87,22,1.61,57,4.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1113,369,732,2666,22,13,0,7,42,41,41,111
25001010208,Massachusetts,Barnstable County,0,2003,984,0,4,0.2,0,0,0,0,0,1,5.4,67477,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2003,100,400,19.99,263,13.13,485,24.21,1911,95.41,39,1.95,10,0.5,0,0,4,0.2,39,1.95,41,2.05,29,2.99,9,0.94,2003,100,400,19.99,263,13.13,485,24.21,1911,95.41,39,1.95,10,0.5,0,0,4,0.2,39,1.95,41,2.05,29,2.99,9,0.94,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,263,485,1911,39,10,0,4,39,41,23,6
25001010304,Massachusetts,Barnstable County,1,2421,1179,0,0,0,0,0,0,0,0,0,4.4,102574,1,1,1,1,1,0,0,0,2002,2378,2002,318,366,318,2378,98.23,366,15.14,273,11.3,820,33.87,2310,95.42,17,0.7,15,0.64,0,0,6,0.25,30,1.23,40,1.64,58,4.93,52,4.4,2002,82.7,318,13.14,233,9.61,697,28.8,1946,80.39,15,0.61,10,0.4,0,0,6,0.25,25,1.05,34,1.42,58,4.93,44,3.69,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,359,277,834,2351,17,17,0,6,30,40,52,51
25001010306,Massachusetts,Barnstable County,1,2535,1209,0,0,0,1,1,1,0,0,1,9.9,71019,1,1,1,1,1,0,0,0,2535,2535,2535,491,491,491,2535,100,491,19.39,350,13.81,773,30.49,2459,97,17,0.67,12,0.47,3,0.12,6,0.24,38,1.5,35,1.38,19,1.57,36,3,2535,100,491,19.39,350,13.81,773,30.49,2459,97,17,0.67,12,0.47,3,0.12,6,0.24,38,1.5,35,1.38,19,1.57,36,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,481,350,773,2459,17,12,3,6,38,35,20,37
25001010400,Massachusetts,Barnstable County,1,2999,1494,0,78,2.6,0,0,0,0,0,0,6.5,88162,1,1,1,1,1,0,0,0,1139,1966,1139,90,237,90,1966,65.56,237,7.9,217,7.24,708,23.62,1893,63.13,19,0.65,23,0.78,0,0,1,0.03,29,0.97,37,1.25,6,0.37,57,3.83,1139,37.99,90,3.01,135,4.51,405,13.5,1103,36.77,5,0.17,12,0.4,0,0,0,0.01,19,0.64,26,0.88,0,0,33,2.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,501,331,1097,2862,39,27,0,5,66,61,34,92
25001010500,Massachusetts,Barnstable County,1,2891,1456,0,10,0.35,0,0,0,0,1,0,6.9,103542,1,1,1,1,1,0,0,1,989,2192,989,131,328,131,2192,75.82,328,11.34,237,8.21,1000,34.6,2157,74.61,5,0.17,12,0.41,1,0.03,0,0,17,0.6,15,0.53,106,7.27,164,11.3,989,34.2,131,4.52,96,3.31,491,16.99,980,33.89,3,0.1,3,0.09,0,0.01,0,0,3,0.11,9,0.32,38,2.62,74,5.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,454,319,1247,2826,14,18,1,2,30,20,169,205
25001010600,Massachusetts,Barnstable County,1,2973,1536,0,103,3.46,0,0,0,0,0,0,7.5,102014,1,1,1,1,1,0,0,0,1633,2593,1633,203,457,203,2593,87.22,457,15.37,280,9.41,1134,38.13,2493,83.85,32,1.06,12,0.4,0,0,8,0.27,49,1.64,38,1.27,81,5.29,98,6.4,1633,54.93,203,6.82,162,5.45,775,26.07,1592,53.54,13,0.44,9,0.29,0,0,5,0.17,15,0.49,18,0.61,25,1.63,59,3.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,546,323,1272,2841,54,15,0,8,55,50,94,107
25001010700,Massachusetts,Barnstable County,1,3152,1549,0,0,0,0,0,0,0,0,0,10.5,110938,1,1,1,1,1,0,0,0,2355,2931,2355,488,596,488,2931,92.98,596,18.91,392,12.45,981,31.12,2831,89.82,28,0.88,20,0.63,0,0,7,0.22,45,1.43,53,1.68,51,3.3,82,5.26,2355,74.72,488,15.49,336,10.66,774,24.55,2278,72.27,15,0.47,15,0.48,0,0,7,0.22,41,1.29,48,1.51,42,2.74,64,4.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,627,426,1036,3044,32,21,0,8,47,58,47,80
25001010800,Massachusetts,Barnstable County,1,4878,2164,0,199,4.08,0,0,0,0,0,0,5.9,79234,1,1,1,1,1,0,0,0,3627,4586,3627,687,811,687,4586,94.01,811,16.62,708,14.51,1436,29.44,4450,91.23,20,0.41,45,0.92,0,0,9,0.18,62,1.27,65,1.33,47,2.16,83,3.84,3627,74.36,687,14.08,538,11.03,1172,24.03,3510,71.96,18,0.36,38,0.78,0,0,8,0.17,52,1.07,50,1.04,41,1.91,66,3.04,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,767,761,1505,4726,23,46,0,9,74,69,43,88
