Name,Naics Code Description,NAICS Code,Address,City,County,State,Zip Code,"Excess Food Estimate, Low (tons per year)","Excess Food Estimate, High (tons per year)",UniqueID,Longitude,Latitude,AvgExcessFoodWaste
02 Cafe,Full-Service Restaurants,722511,1001 Massachusetts Ave,Cambridge,Middlesex,MA,2138,7.8933855,11.872,RFS29363,-71.112600031737,42.369921119188,9.88269275
1 Lucky House LLC,Full-Service Restaurants,722511,657 Quincy Shore Dr,Quincy,Norfolk,MA,2170,4.1321445,6.784,RFS238826,-71.01428559871,42.278452859692,5.45807225
"1 On 1 Strong, Inc.",Full-Service Restaurants,722511,7 Marble St Ste B1,Whitman,Plymouth,MA,2382,1.2955635,3.392,RFS244114,-70.932417381782,42.079940832696,2.34378175
100 Main Cafe LLC,Full-Service Restaurants,722511,129 Westview Dr,Westford,Middlesex,MA,1886,10.1486385,15.264,RFS63038,-71.449229475127,42.565284553754,12.70631925
1000 Degrees Pizza,Limited-Service Restaurants,722513,45 Court St,Boston,Suffolk,MA,2108,2.4008655,13.5,RFS394499,-71.058746977202,42.359145684359,7.95043275
1000bamboo Inc.,Full-Service Restaurants,722511,329 Harvard St APT 20,Cambridge,Middlesex,MA,2139,1.741806,1.741806,RFS165705,-71.108454271771,42.370537552362,1.741806
101 Edgewater Cafe,Full-Service Restaurants,722511,101 Edgewater Dr,Wakefield,Middlesex,MA,1880,11.276265,16.96,RFS30842,-71.04438371476,42.519689983981,14.1181325
1048 North Main Street LLC,Limited-Service Restaurants,722513,1048 N Main St,Randolph,Norfolk,MA,2368,16.528611,24,RFS290497,-71.059337286164,42.191523434947,20.2643055
105 Martket Street Realty Trust,Full-Service Restaurants,722511,105 Market St,Lowell,Middlesex,MA,1852,6.6,8.48,RFS36662,-71.310694814331,42.644545268101,7.54
1056 Gyro and Kebab House Corp,Full-Service Restaurants,722511,1056 Great Plain Ave,Needham,Norfolk,MA,2492,1.5296325,11.872,RFS37525,-71.238652022365,42.280157656517,6.70081625
107 Salem Restaurant Inc.,Full-Service Restaurants,722511,107 Salem St,Boston,Suffolk,MA,2113,5.1268965,15.264,RFS38948,-71.055470253938,42.364178577091,10.19544825
11 11 Health Bar,Snack and Nonalcoholic Beverage Bars,722515,87 Union St,Newton,Middlesex,MA,2459,9.021012,12,RFS451047,-71.192609305516,42.329718706051,10.510506
"11 Fan Pier Restaurant, LLC",Full-Service Restaurants,722511,11 Fan Pier Blvd,Boston,Suffolk,MA,2210,1.4395095,11.872,RFS41646,-71.045444545372,42.353782423957,6.65575475
"11 North Beacon Street, LLC",Full-Service Restaurants,722511,11 North Beacon St,Watertown,Middlesex,MA,2472,16.0882425,25.44,RFS41762,-71.183187731389,42.36494654125,20.76412125
110 Grill,Limited-Service Restaurants,722513,1175 Main St,Haverhill,Essex,MA,1830,2.6894835,12,RFS300296,-71.102764873267,42.809756620811,7.34474175
110 Grill Fall River,Limited-Service Restaurants,722513,560 William St,Fall River,Bristol,MA,2721,57.362,69,RFS409117,-71.161822054293,41.697282022187,63.181
110 Grill Ms Leominster LLC,Limited-Service Restaurants,722513,4 Lan Dr,Westford,Middlesex,MA,1886,47.360346,63,RFS385331,-71.431104476848,42.560919254916,55.180173
110 Littleton LLC,Full-Service Restaurants,722511,584 King St,Littleton,Middlesex,MA,1460,10.1486385,15.264,RFS225347,-71.467501154609,42.549290287299,12.70631925
110 Roastbeef & Seadfood LLC,Limited-Service Restaurants,722513,66 Haverhill Rd,Amesbury,Essex,MA,1913,17.1608085,24,RFS420400,-70.947421413885,42.841778936387,20.58040425
"118 Restaurant, Inc.",Full-Service Restaurants,722511,59 Dutton St,Malden,Middlesex,MA,2148,1.157871,6.784,RFS225886,-71.073702593284,42.438471001751,3.9709355
1216 Gorham Street Incorporated,Full-Service Restaurants,722511,1216 Gorham St,Lowell,Middlesex,MA,1852,2.30241,11.872,RFS56798,-71.305787406923,42.622613298489,7.087205
128 Round Table Inc,Full-Service Restaurants,722511,151 Merrimac St Ste 600,Boston,Suffolk,MA,2114,,,RFS81322,-71.06271069614,42.363869536446,
135 Grill Corp,Limited-Service Restaurants,722513,672 Waverley St,Framingham,Middlesex,MA,1702,9.021012,12,RFS421469,-71.426532988484,42.27341509478,10.510506
138 Restaurant Inc,Full-Service Restaurants,722511,403 Lowell St,Wakefield,Middlesex,MA,1880,1.4395095,11.872,RFS186266,-71.063481565706,42.517308303666,6.65575475
138 Thai Restuarant,Full-Service Restaurants,722511,701 Broadway,Raynham,Bristol,MA,2767,3.640956,13.568,RFS245061,-71.072191542356,41.950011068099,8.604478
"141 Sandwich Road, Inc.",Limited-Service Restaurants,722513,800 Gifford Street EXT,Falmouth,Barnstable,MA,2540,14.964,19.692189,RFS433152,-70.605699963403,41.585068309128,17.3280945
"142 Berkely, LLC",Full-Service Restaurants,722511,93 Atlantic Ave,Swampscott,Essex,MA,1907,21.4510065,21.4510065,RFS276667,-70.89206971213,42.472652062022,21.4510065
148 Sandwich Road LLC,Limited-Service Restaurants,722513,420 Blacksmith Shop Rd,East Falmouth,Barnstable,MA,2536,11.223,14.7691335,RFS390050,-70.605302280879,41.602133013555,12.99606675
154 Maverick LLC,Full-Service Restaurants,722511,154 Maverick St,Boston,Suffolk,MA,2128,3.256539,15.264,RFS83697,-71.03812817136,42.369855186246,9.2602695
16 Handles Walpole,Limited-Service Restaurants,722513,102 Providence Hwy,East Walpole,Norfolk,MA,2032,1.122462,4.5,RFS288244,-71.203447174962,42.155641690735,2.811231
16 Park Drive LLC,Full-Service Restaurants,722511,47 Swan Rd,Winchester,Middlesex,MA,1890,1.7874615,11.872,RFS202530,-71.156593123711,42.442537358169,6.82973075
"160 Boston Turnpike Market, Inc.",Limited-Service Restaurants,722513,160 Boston Tpke,Shrewsbury,Worcester,MA,1545,15.3022485,24,RFS322855,-71.747398075904,42.27483667825,19.65112425
1625 Exchange Inc,Full-Service Restaurants,722511,1625 Tremont St,Boston,Suffolk,MA,2120,2.3513985,11.872,RFS89286,-71.103427122246,42.333770105388,7.11169925
163 Vietnam Sandwich,Full-Service Restaurants,722511,66 Harrison Ave,Boston,Suffolk,MA,2111,2.030424,13.568,RFS239051,-71.061138738623,42.351416538973,7.799212
1645 Concord Street LLC,Limited-Service Restaurants,722513,19 Westgate Rd,Framingham,Middlesex,MA,1701,8.7050865,20.352,RFS333817,-71.455495144745,42.300811353693,14.52854325
168 Zheng Garden Inc.,Full-Service Restaurants,722511,1351 Washington St,Newton,Middlesex,MA,2465,1.6119675,5.088,RFS69069,-71.228872724424,42.34875170145,3.34998375
180 Cafe,Full-Service Restaurants,722511,23 Edinboro St,Boston,Suffolk,MA,2111,13.289496,16.96,RFS127701,-71.059862692418,42.352312387788,15.124748
